start_date,end_date,num_countries,color
2020-01-01,2020-03-01,1,#b2b2b2
2020-03-01,2020-03-08,0,#fcffa4
2020-03-08,2020-03-15,1,#fcffa4
2020-03-15,2020-03-22,24,#f4df53
2020-03-22,2020-03-29,38,#f4df53
2020-03-29,2020-04-05,34,#fbb61a
2020-04-05,2020-04-12,29,#fbb61a
2020-04-12,2020-04-19,18,#f98e09
2020-04-19,2020-04-26,4,#f98e09
2020-04-26,2020-05-03,9,#ed6925
2020-05-03,2020-05-10,6,#ed6925
2020-05-10,2020-05-17,2,#d84c3e
2020-05-17,2020-05-24,2,#d84c3e
2020-05-24,2020-05-31,1,#bc3754
2020-05-31,2020-06-07,0,#bc3754
2020-06-07,2020-06-14,0,#9b2964
2020-06-14,2020-06-21,3,#9b2964
2020-06-21,2020-06-28,0,#781c6d
2020-06-28,2020-07-05,1,#781c6d
2020-07-05,2020-07-12,1,#57106e
2020-07-12,2020-07-19,1,#57106e
2020-07-19,2020-07-26,1,#340a5f
2020-07-26,2020-08-02,0,#340a5f
2020-08-02,2020-08-09,1,#120a32
2020-08-09,2020-08-16,1,#120a32
2020-08-16,2020-08-23,2,#000004
2020-08-23,2020-08-30,0,#000004
2020-08-30,2020-10-15,4,#b2b2b2
